Source,Cregion,compound_values,independent_values,n_Comp,n_Indep,NOC,med_Comp,med_Indep,med_diff,ks_p,wilcox_p,cliff_d,stat_label,max_val,Dynamic_Variable
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Housing burden (percent) (percentile)
Expected building loss rate (Natural Hazards Risk Index) (percentile),NW,,,3,0,3,84.8,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,96.75,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Expected population loss rate (Natural Hazards Risk Index) (percentile)
Expected population loss rate (Natural Hazards Risk Index) (percentile),MDA,,,3,1,4,51.71428571,34.64761905,17.06666667,1,1,0.333333333,ΔMed = 17.07 | Cliff's d = 0.33 | KS p = 1.00 | NOC = 4,57.34673367,Expected population loss rate (Natural Hazards Risk Index) (percentile)
Expected population loss rate (Natural Hazards Risk Index) (percentile),SE,,,12,1,13,74.49285714,36.21428571,38.27857143,0.307692308,0.307692308,0.833333333,ΔMed = 38.28 | Cliff's d = 0.83 | KS p = 0.31 | NOC = 13,98,Expected population loss rate (Natural Hazards Risk Index) (percentile)
Expected population loss rate (Natural Hazards Risk Index) (percentile),GLF,,,28,4,32,80.925,68.45502646,12.46997354,0.691323693,0.423637375,0.267857143,ΔMed = 12.47 | Cliff's d = 0.27 | KS p = 0.69 | NOC = 32,96,Expected population loss rate (Natural Hazards Risk Index) (percentile)
Expected population loss rate (Natural Hazards Risk Index) (percentile),SW,,,1,0,1,30.42857143,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,30.42857143,Expected population loss rate (Natural Hazards Risk Index) (percentile)
Expected population loss rate (Natural Hazards Risk Index) (percentile),NW,,,3,0,3,78.6,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,97.25,Expected population loss rate (Natural Hazards Risk Index) (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Share of properties at risk of flood in 30 years (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Share of properties at risk of flood in 30 years (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Share of properties at risk of flood in 30 years (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Share of properties at risk of flood in 30 years (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Share of properties at risk of flood in 30 years (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Share of properties at risk of flood in 30 years (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Share of properties at risk of flood in 30 years (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Share of properties at risk of flood in 30 years (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Share of properties at risk of flood in 30 years (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Share of properties at risk of flood in 30 years (percentile)
Share of properties at risk of flood in 30 years (percentile),MDA,,,3,1,4,28.65,42.98095238,-14.33095238,1,1,-0.333333333,ΔMed = -14.33 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,82.42857143,Share of properties at risk of flood in 30 years (percentile)
Share of properties at risk of flood in 30 years (percentile),SE,,,12,1,13,69.22159091,51.57142857,17.65016234,0.307692308,0.307692308,0.833333333,ΔMed = 17.65 | Cliff's d = 0.83 | KS p = 0.31 | NOC = 13,97,Share of properties at risk of flood in 30 years (percentile)
Share of properties at risk of flood in 30 years (percentile),GLF,,,28,4,32,80.9375,74.35016835,6.58733165,0.578754171,0.304727475,0.339285714,ΔMed = 6.59 | Cliff's d = 0.34 | KS p = 0.58 | NOC = 32,98.88235294,Share of properties at risk of flood in 30 years (percentile)
Share of properties at risk of flood in 30 years (percentile),SW,,,1,0,1,50.85714286,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,50.85714286,Share of properties at risk of flood in 30 years (percentile)
Share of properties at risk of flood in 30 years (percentile),NW,,,3,0,3,70.05882353,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,87.75,Share of properties at risk of flood in 30 years (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Energy burden (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Energy burden (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Energy burden (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Energy burden (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Energy burden (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Energy burden (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Energy burden (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Energy burden (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Energy burden (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Energy burden (percentile)
Energy burden (percentile),MDA,,,3,1,4,71.18618619,44.67307692,26.51310926,0.5,0.5,1,ΔMed = 26.51 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,90.14285714,Energy burden (percentile)
Energy burden (percentile),SE,,,12,1,13,83.4,72.14285714,11.25714286,0.615384615,0.615384615,0.5,ΔMed = 11.26 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,95,Energy burden (percentile)
Energy burden (percentile),GLF,,,28,4,32,69.58928571,68.3956229,1.193662819,0.963959956,0.640378198,0.160714286,ΔMed = 1.19 | Cliff's d = 0.16 | KS p = 0.96 | NOC = 32,97,Energy burden (percentile)
Energy burden (percentile),SW,,,1,0,1,62.42857143,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,62.42857143,Energy burden (percentile)
Energy burden (percentile),NW,,,3,0,3,63.4,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,67.375,Energy burden (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.500 | NOC = 4,3.46223806,Traffic proximity and volume (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.615 | NOC = 13,1.799155431,Traffic proximity and volume (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.675 | NOC = 32,3.231674332,Traffic proximity and volume (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Traffic proximity and volume (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Traffic proximity and volume (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.000 | NOC = 4,0.891236919,Traffic proximity and volume (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.615 | NOC = 13,0.8547,Traffic proximity and volume (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.993 | NOC = 32,0.9278,Traffic proximity and volume (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Traffic proximity and volume (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Traffic proximity and volume (percentile)
Traffic proximity and volume (percentile),MDA,,,3,1,4,77.91071429,74.12380952,3.786904762,1,1,0.333333333,ΔMed = 3.79 | Cliff's d = 0.33 | KS p = 1.000 | NOC = 4,79.67,Traffic proximity and volume (percentile)
Traffic proximity and volume (percentile),SE,,,12,1,13,23.41666667,32.85714286,-9.44047619,0.461538462,0.461538462,-0.666666667,ΔMed = -9.44 | Cliff's d = -0.67 | KS p = 0.462 | NOC = 13,67.81818182,Traffic proximity and volume (percentile)
Traffic proximity and volume (percentile),GLF,,,28,4,32,31.08482143,17.67724868,13.40757275,0.075695217,0.023971079,0.696428571,ΔMed = 13.41 | Cliff's d = 0.7 | KS p = 0.076 | NOC = 32,79.78285714,Traffic proximity and volume (percentile)
Traffic proximity and volume (percentile),SW,,,1,0,1,29.28571429,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,29.28571429,Traffic proximity and volume (percentile)
Traffic proximity and volume (percentile),NW,,,3,0,3,36,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,47.52941176,Traffic proximity and volume (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,DOT Travel Barriers Score (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,DOT Travel Barriers Score (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,DOT Travel Barriers Score (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,DOT Travel Barriers Score (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,DOT Travel Barriers Score (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,DOT Travel Barriers Score (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,DOT Travel Barriers Score (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,DOT Travel Barriers Score (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,DOT Travel Barriers Score (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,DOT Travel Barriers Score (percentile)
DOT Travel Barriers Score (percentile),MDA,,,3,1,4,70.59159159,51.82380952,18.76778207,1,1,0.333333333,ΔMed = 18.77 | Cliff's d = 0.33 | KS p = 1.00 | NOC = 4,86.28571429,DOT Travel Barriers Score (percentile)
DOT Travel Barriers Score (percentile),SE,,,12,1,13,73.16818182,61.64285714,11.52532468,0.153846154,0.153846154,1,ΔMed = 11.53 | Cliff's d = 1 | KS p = 0.15 | NOC = 13,95,DOT Travel Barriers Score (percentile)
DOT Travel Barriers Score (percentile),GLF,,,28,4,32,72.03809524,80.75132275,-8.713227513,0.274860957,0.130978505,-0.482142857,ΔMed = -8.71 | Cliff's d = -0.48 | KS p = 0.27 | NOC = 32,97.2,DOT Travel Barriers Score (percentile)
DOT Travel Barriers Score (percentile),SW,,,1,0,1,35.28571429,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,35.28571429,DOT Travel Barriers Score (percentile)
DOT Travel Barriers Score (percentile),NW,,,3,0,3,39.82352941,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,56,DOT Travel Barriers Score (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.500 | NOC = 4,3.46223806,Proximity to hazardous waste sites (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.615 | NOC = 13,1.799155431,Proximity to hazardous waste sites (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.675 | NOC = 32,3.231674332,Proximity to hazardous waste sites (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Proximity to hazardous waste sites (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Proximity to hazardous waste sites (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.000 | NOC = 4,0.891236919,Proximity to hazardous waste sites (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.615 | NOC = 13,0.8547,Proximity to hazardous waste sites (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.993 | NOC = 32,0.9278,Proximity to hazardous waste sites (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Proximity to hazardous waste sites (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Proximity to hazardous waste sites (percentile)
Proximity to hazardous waste sites (percentile),MDA,,,3,1,4,89.96,74.24761905,15.71238095,1,1,0.333333333,ΔMed = 15.71 | Cliff's d = 0.33 | KS p = 1.000 | NOC = 4,90.61651917,Proximity to hazardous waste sites (percentile)
Proximity to hazardous waste sites (percentile),SE,,,12,1,13,24.38068182,35.53333333,-11.15265152,0.461538462,0.461538462,-0.666666667,ΔMed = -11.15 | Cliff's d = -0.67 | KS p = 0.462 | NOC = 13,50.18181818,Proximity to hazardous waste sites (percentile)
Proximity to hazardous waste sites (percentile),GLF,,,28,4,32,27.34467501,6.557142857,20.78753215,0.007007786,0.019470095,0.741071429,ΔMed = 20.79 | Cliff's d = 0.74 | KS p = 0.007 | NOC = 32,75.51977401,Proximity to hazardous waste sites (percentile)
Proximity to hazardous waste sites (percentile),SW,,,1,0,1,21.5,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,21.5,Proximity to hazardous waste sites (percentile)
Proximity to hazardous waste sites (percentile),NW,,,3,0,3,2.444444444,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,3.166666667,Proximity to hazardous waste sites (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Proximity to NPL (Superfund) sites (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Proximity to NPL (Superfund) sites (percentile)
